cal,C14,error
6080,5303,17
6075,5314,16
6070,5319,18
6065,5318,18
6060,5310,17
6055,5304,18
6050,5307,17
6045,5317,17
6040,5326,19
6035,5328,19
6030,5326,21
6025,5323,21
6020,5319,21
6015,5314,23
6010,5307,23
6005,5297,20
6000,5276,17
5995,5248,16
5990,5228,16
5985,5207,16
5980,5200,16
5975,5207,17
5970,5218,18
5965,5230,17
5960,5239,17
5955,5244,18
5950,5242,18
5945,5232,17
5940,5218,16
5935,5202,17
5930,5187,17
5925,5175,16
5920,5165,16
5915,5154,17
5910,5140,17
5905,5122,17
5900,5103,19
5895,5085,19
5890,5070,17
5885,5059,19
5880,5053,20
5875,5052,18
5870,5053,18
5865,5053,18
5860,5051,17
5855,5046,16
5850,5041,16
5845,5038,16
5840,5031,16
5835,5027,16
5830,5035,16
5825,5054,16
5820,5066,15
5815,5070,15
5810,5075,15
5805,5081,15
5800,5084,16
5795,5082,16
5790,5080,17
5785,5081,16
5780,5083,17
5775,5084,16
5770,5084,17
5765,5079,17
5760,5072,16
5755,5059,17
5750,5043,16
5745,5027,17
5740,5016,16
5735,5008,16
5730,5001,17
5725,4994,16
5720,4986,16
5715,4980,16
5710,4974,16
5705,4969,15
5700,4968,15
5695,4969,16
5690,4973,15
5685,4977,16
5680,4978,15
5675,4979,16
5670,4982,16
5665,4983,16
5660,4969,15
5655,4946,16
5650,4928,16
5645,4919,16
5640,4919,14
5635,4924,13
5630,4931,13
5625,4937,13
5620,4947,13
5615,4958,13
5610,4953,14
5605,4933,14
5600,4907,14
5595,4882,13
5590,4856,13
5585,4825,13
5580,4794,14
5575,4774,14
5570,4761,14
5565,4755,14
5560,4756,13
5555,4756,15
5550,4753,16
5545,4750,16
5540,4751,15
5535,4757,16
5530,4766,15
5525,4773,16
5520,4773,16
5515,4770,16
5510,4773,17
5505,4786,16
5500,4799,16
5495,4803,15
5490,4796,16
5485,4783,15
5480,4764,16
5475,4744,15
5470,4723,16
5465,4706,15
5460,4694,16
5455,4688,15
5450,4684,15
5445,4673,15
5440,4653,15
5435,4636,15
5430,4628,15
5425,4630,15
5420,4639,15
5415,4651,14
5410,4660,15
5405,4668,15
5400,4672,15
5395,4672,15
5390,4670,15
